recordName,Farm_location,Farm_type,Farm_depth,Year,Quarter,Record Start Date,Record Start Time,Record Start Date Time,Record End Date,Record End Time,Record End Date Time,Analysis Start Date,Analysis Start Time,Analysis Start Date Time,Analysis End Date,Analysis End Time,Analysis End Date Time,Num_click_events,Notes
PR_2021_0126-0204,Rom,5-line,surface,2021,1,26-Jan,12:24:59,1/26/2021 12:24,4-Feb,9:36:59,2/4/2021 9:36,26-Jan,12:24:59,1/26/2021 12:24,4-Feb,9:36:59,2/4/2021 9:36,298,
PR_2021_0430-0512,Rom,5-line,surface,2021,2,30-Apr,22:59:39,4/30/2021 22:59,12-May,19:58:27,5/12/2021 19:58,30-Apr,22:59:39,4/30/2021 22:59,12-May,19:58:27,5/12/2021 19:58,204,
PR_2021_0813-0915,Rom,5-line,surface,2021,3,13-Aug,10:09:05,8/13/2021 10:09,15-Sep,9:04:05,9/15/2021 9:04,13-Aug,10:09:05,8/13/2021 10:09,23-Aug,8:01,8/23/2021 8:01,238,
PR_2021_0923-1027,Rom,5-line,surface,2021,4,23-Sep,16:01:15,9/23/2021 16:01,10-Oct,10:26:14,10/27/2021 10:26,23-Sep,16:01:15,9/23/2021 16:01,3-Oct,16:01,10/3/2021 16:01,34,
PR_2022_0101-0119,Rom,5-line,surface,2022,1,1-Jan,4:03:08,1/1/2022 4:03,20-Jan,0:24:03,1/20/2022 0:24,1-Jan,4:03:08,1/1/2022 4:03,10-Jan,23:58:08,1/10/2022 23:58,108,
PR_2022_0429-0531,ML,5-line,surface,2022,2,29-Apr,,,31-May,,,29-Apr,,,10-May,,,16,
PR_2022_0601-0612,ML,5-line,surface,2022,2,1-Jun,,,12-Jun,,,1-Jun,,,10-Jun,,,17,
PR_2022_0711-0731,ML,5-line,surface,2022,3,11-Jul,12:29:36,7/11/2022 12:29,1-Aug,4:00:25,8/1/2022 4:00,11-Jul,12:29:36,7/11/2022 12:29,21-Jul,23:58:36,7/21/2022 23:58,27,"Cat deployed July 16, 2022??"
PR_2022_0801-0818,ML,cat,surface,2022,3,1-Aug,4:04:36,8/1/2022 4:04,18-Aug,13:44:36,8/18/2022 13:44,1-Aug,4:04:36,8/1/2022 4:04,9-Aug,8:14:36,8/9/2022 8:14,25,
PR_2022_0823-1005,ML,cat,surface,2022,3,23-Aug,14:09:59,8/23/2022 14:09,22-Sep,14:16:58,9/22/2022 14:16,1-Sep,4:09:59,9/1/2022 4:09,10-Sep,23:54:59,9/10/2022 23:54,19,
PR_2022_1012-1101,ML,cat,surface,2022,4,12-Oct,,,1-Nov,,,12-Oct,,,22-Oct,,,25,
PR_2022_1103_1129,ML,cat,surface,2022,4,3-Nov,16:02:03,11/3/2022 16:02,6-Nov,22:51:56,11/6/2022 22:51,3-Nov,16:02:03,11/3/2022 16:02,6-Nov,22:19:03,11/6/2022 22:19,6,"File states recording goes to 11/29, but data only to 11/6"
PR_2023_0101-0123,ML,cat,surface,2023,1,1-Jan,4:04:59,1/1/2023 4:04,23-Jan,20:58:47,1/23/2023 20:58,1-Jan,4:04:59,1/1/2023 4:04,10-Jan,23:59:59,1/10/2023 23:59,47,
PR_2023_0216-0218,ML,cat,surface,2023,1,16-Feb,19:59:59,2/16/2023 19:59,18-Feb,4:00:58,2/18/2023 4:00,16-Feb,19:59:59,2/16/2023 19:59,18-Feb,4:00:58,2/18/2023 4:00,3,
PR_2023_0301-0331,ML,cat ,surface,2023,1,1-Mar,4:04:59,1/1/2023 4:04,1-Apr,4:01:58,4/1/2023 4:01,1-Mar,4:04:59,1/1/2023 4:04,10-Jan,23:59:59,1/10/2023 23:59,30,
PR_2023_0401-0430,ML,cat,surface,2023,2,1-Apr,4:04:49,1/1/2023 4:04,1-May,4:01:58,5/1/2023 4:01,17-Apr,13:59:59,4/17/2023 13:59,27-Apr,23:59:59,4/27/2023 23:59,19,
