"","recordName","Farm_location","Farm_type","Farm_depth","Year","Quarter","Record.Start.Date.Time","Record.End.Date.Time","AnalysisStartDateTime","AnalysisEndDateTime","Num_click_events"
"1","PR_2021_0126-0204","Rom","5-line","surface",2021,1,"1/26/2021 12:24","2/4/2021 9:36","1/26/2021 12:24","2/4/21 9:36",298
"2","PR_2021_0430-0512","Rom","5-line","surface",2021,2,"4/30/2021 22:59","5/12/2021 19:58","4/30/2021 22:59","5/12/21 19:58",204
"3","PR_2021_0813-0915","Rom","5-line","surface",2021,3,"8/13/2021 10:09","9/15/2021 9:04","8/13/2021 10:09","8/23/21 8:01",238
"4","PR_2021_0923-1027","Rom","5-line","surface",2021,3,"9/23/2021 16:01","10/27/2021 10:26","9/23/2021 16:01","10/3/2021 16:01",34
"5","PR_2022_0101-0119","Rom","5-line","surface",2022,1,"1/1/2022 4:03","1/20/2022 0:24","1/1/2022 4:03","1/10/22 23:58",108
"6","PR_2022_0429-0531","ML","5-line","surface",2022,2,"","","","",16
"7","PR_2022_0601-0612","ML","5-line","surface",2022,2,"","","","",17
"8","PR_2022_0711-0731","ML","5-line","surface",2022,3,"7/11/2022 12:29","8/1/2022 4:00","7/11/22 12:29","7/21/22 23:58",27
"9","PR_2022_0801-0818","ML","cat","surface",2022,3,"8/1/2022 4:04","8/18/2022 13:44","8/1/2022 4:04","8/9/22 8:14",25
"10","PR_2022_0823-1005","ML","cat","surface",2022,3,"8/23/2022 14:09","9/22/2022 14:16","9/1/22 4:09","9/10/22 23:54",19
"11","PR_2022_1012-1101","ML","cat","surface",2022,4,"","","","",25
"12","PR_2022_1103-1129","ML","cat","surface",2022,4,"","","","",NA
"13","PR_2023_0101-0123","ML","cat","surface",2023,1,"1/1/2023 4:04","1/23/2023 20:58","1/1/2023 4:04","1/10/23 23:59",47
"14","PR_2023_0216-0218","ML","cat","surface",2023,1,"2/16/2023 19:59","2/18/2023 4:00","2/16/2023 19:59","2/18/2023 4:00",3
"15","PR_2023_0301-0331","ML","cat ","surface",2023,1,"1/1/2023 4:04","4/1/2023 4:01","1/1/2023 4:04","1/10/23 23:59",30
"16","PR_2023_0401-0430","ML","cat","surface",2023,2,"1/1/2023 4:04","5/1/2023 4:01","4/17/2023 13:59","4/27/23 23:59",19
"17","PR_2023_0501-0531","ML","cat","surface",2023,2,"5/1/2023 4:04","6/1/2023 12:01","5/1/2023 4:04","5/10/23 23:59",10
"18","PR_2023_0601-0631","ML","cat","surface",2023,2,"6/1/2023","6/15/2023 1:00","6/1/2023","6/10/23 23:59",19
"19","","","","",NA,NA,"","","","",NA
"20","","","","",NA,NA,"","","","",NA
"21","","","","",NA,NA,"","","","",NA
"22","","","","",NA,NA,"","","","",NA
"23","","","","",NA,NA,"","","","",NA
"24","","","","",NA,NA,"","","","",NA
"25","","","","",NA,NA,"","","","",NA
"26","","","","",NA,NA,"","","","",NA
"27","","","","",NA,NA,"","","","",NA
"28","","","","",NA,NA,"","","","",NA
"29","","","","",NA,NA,"","","","",NA
"30","","","","",NA,NA,"","","","",NA
"31","","","","",NA,NA,"","","","",NA
"32","","","","",NA,NA,"","","","",NA
"33","","","","",NA,NA,"","","","",NA
"34","","","","",NA,NA,"","","","",NA
"35","","","","",NA,NA,"","","","",NA
